Student ID,Name,Grade Level,Age,Learning Style,Socioeconomic Status,Past Grades,Standardized Test Scores,Prior Knowledge,Course ID,Course Name,Course Difficulty,Class Size,Teaching Style,Coursework Load,Attendance,Study Time,Time of Year,Extracurricular Activities,Health,Home Environment,Actual Grade,cgpa
1037,Isabella White,Sophomore,19,Visual,High Income,88.9,1380,None,240,Introduction to Linguistics,Medium,37,Interactive,"Homework, Quizzes",93,14,Fall Semester,Yes,Good,Quiet,B,4.1
1038,Jacob Thompson,Freshman,17,Kinesthetic,Middle Income,86.3,1280,None,130,Introduction to Sociology,Easy,26,Activity-based,"Projects, Presentations",91,8,Spring Semester,No,Good,Quiet,B,4
1039,Ava Smith,Sophomore,18,Auditory,Low Income,87.6,1350,None,250,Introduction to Mathematics,Medium,35,Lecture-based,"Exams, Projects",92,13,Fall Semester,No,Good,Quiet,B,4
1040,Ethan Davis,Junior,20,Visual,High Income,93.1,1450,None,330,Advanced Biology Lab,Hard,48,Interactive,"Homework, Quizzes",95,15,Spring Semester,Yes,Excellent,Quiet,A,4.3
1041,Mia Rodriguez,Sophomore,19,Kinesthetic,Middle Income,91.8,1420,None,260,Introduction to Anthropology,Easy,29,Activity-based,"Projects, Presentations",94,12,Fall Semester,No,Good,Quiet,B,3.9
1042,William Brown,Freshman,16,Auditory,Low Income,85.5,1260,None,140,Introduction to History,Medium,30,Lecture-based,"Exams, Projects",88,11,Spring Semester,No,Average,Quiet,C,3.2
1043,Sophia Johnson,Sophomore,18,Visual,High Income,89.2,1360,None,270,Introduction to Astronomy,Medium,34,Interactive,"Homework, Quizzes",93,14,Fall Semester,Yes,Good,Quiet,B,3.7
1044,James Thompson,Junior,21,Auditory,Middle Income,90.1,1380,None,340,College Algebra,Medium,42,Lecture-based,"Exams, Projects",91,10,Spring Semester,No,Good,Quiet,B,3.4
1045,Olivia Davis,Sophomore,17,Visual,Low Income,88.7,1270,None,280,World History I,Easy,28,Activity-based,"Projects, Presentations",90,12,Fall Semester,No,Good,Quiet,B,3.9
1046,Liam Johnson,Freshman,16,Kinesthetic,High Income,92.6,1480,None,150,Introduction to Computer Science,Hard,45,Interactive,"Homework, Quizzes",94,15,Spring Semester,Yes,Excellent,Quiet,A,3.6
1047,Sophia Rodriguez,Sophomore,18,Auditory,Middle Income,86.9,1310,None,290,Introduction to Psychology,Medium,32,Lecture-based,"Exams, Projects",93,13,Fall Semester,No,Good,Quiet,B,3.9
1048,William Davis,Junior,20,Visual,Low Income,93.5,1460,None,350,Calculus I,Hard,46,Interactive,"Homework, Quizzes",95,15,Spring Semester,No,Excellent,Quiet,A,4.1
1049,Emma Johnson,Freshman,16,Kinesthetic,High Income,87.3,1330,None,160,Introduction to Physics,Medium,38,Activity-based,"Projects, Presentations",92,12,Fall Semester,No,Good,Quiet,B,4.1
1050,Mason Brown,Sophomore,17,Auditory,Middle Income,91.8,1390,None,285,Introduction to Literature,Easy,30,Lecture-based,"Exams, Projects",90,11,Spring Semester,No,Good,Quiet,B,3.2
1051,Avery Thompson,Junior,20,Visual,Low Income,92.1,1470,None,345,Statistics I,Hard,47,Interactive,"Homework, Quizzes",94,15,Fall Semester,Yes,Excellent,Quiet,A,
1052,Nathan Davis,Freshman,16,Kinesthetic,High Income,85.6,1290,None,155,Introduction to Art History,Easy,25,Activity-based,"Projects, Presentations",91,13,Spring Semester,No,Good,Quiet,B,
1053,Isabella Johnson,Sophomore,18,Auditory,Middle Income,88.4,1300,None,295,Introduction to Sociology,Medium,33,Lecture-based,"Exams, Projects",93,12,Fall Semester,No,Good,Quiet,B,
1054,Alexander Thompson,Junior,21,Visual,Low Income,94.2,1490,None,355,Calculus II,Hard,44,Interactive,"Homework, Quizzes",95,15,Spring Semester,Yes,Excellent,Quiet,A,
1056,Emily Davis,Freshman,16,Visual,Low Income,90.1,1280,None,175,Introduction to Chemistry,Easy,28,Activity-based,"Projects, Presentations",93,12,Spring Semester,No,Good,Quiet,B,
1057,Oliver Johnson,Junior,20,Kinesthetic,High Income,93.7,1510,None,325,Physics I,Hard,49,Interactive,"Homework, Quizzes",94,15,Fall Semester,Yes,Excellent,Quiet,A,
1058,Ava Thompson,Sophomore,18,Auditory,Middle Income,89.8,1320,None,265,Introduction to Economics,Medium,35,Lecture-based,"Exams, Projects",91,11,Spring Semester,No,Good,Quiet,B,
1059,Ethan Davis,Freshman,16,Visual,Low Income,91.2,1350,None,195,Introduction to Philosophy,Easy,26,Activity-based,"Projects, Presentations",93,13,Fall Semester,No,Good,Quiet,B,
1060,Avery Johnson,Junior,21,Kinesthetic,High Income,95.6,1530,None,375,Data Analysis I,Hard,45,Interactive,"Homework, Quizzes",94,15,Spring Semester,Yes,Excellent,Quiet,A,
1061,Sophia Davis,Sophomore,18,Auditory,Middle Income,86.9,1270,None,245,Introduction to Political Science,Medium,34,Lecture-based,"Exams, Projects",92,10,Fall Semester,No,Good,Quiet,B,
1062,Mason Thompson,Freshman,16,Visual,Low Income,90.5,1300,None,185,Introduction to Computer Science,Easy,27,Activity-based,"Projects, Presentations",93,12,Spring Semester,No,Good,Quiet,B,
1063,Logan Johnson,Junior,20,Kinesthetic,High Income,94.8,1520,None,365,Physics II,Hard,48,Interactive,"Homework, Quizzes",95,15,Fall Semester,Yes,Excellent,Quiet,A,
1064,Ella Davis,Sophomore,18,Auditory,Middle Income,88.1,1310,None,275,Introduction to Anthropology,Medium,36,Lecture-based,"Exams, Projects",91,11,Spring Semester,No,Good,Quiet,B,
1065,Noah Thompson,Freshman,16,Visual,Low Income,91.6,1340,None,195,Introduction to Linguistics,Easy,26,Activity-based,"Projects, Presentations",93,13,Fall Semester,No,Good,Quiet,B,
1066,Avery Smith,Junior,19,Kinesthetic,Middle Income,89.2,1350,None,255,Introduction to Psychology,Medium,32,Interactive,"Exams, Projects",90,12,Spring Semester,Yes,Good,Quiet,B,
1067,Evan Johnson,Freshman,16,Auditory,High Income,92.1,1400,None,175,Introduction to Physics,Easy,24,Lecture-based,"Exams, Projects",94,11,Fall Semester,No,Good,Quiet,B,
1068,Mia Davis,Sophomore,18,Visual,Low Income,87.5,1280,None,265,Introduction to Sociology,Medium,37,Interactive,"Homework, Quizzes",93,14,Spring Semester,Yes,Good,Quiet,B,
1069,Ethan Thompson,Junior,20,Kinesthetic,Middle Income,90.3,1320,None,345,Calculus I,Hard,46,Activity-based,"Homework, Quizzes",95,13,Fall Semester,No,Good,Quiet,A,
1070,Avery Johnson,Sophomore,19,Auditory,High Income,85.9,1250,None,235,Introduction to Philosophy,Medium,31,Lecture-based,"Exams, Projects",92,10,Spring Semester,Yes,Good,Quiet,B,
1071,Evan Davis,Freshman,16,Visual,Low Income,93.8,1450,None,165,Introduction to Economics,Easy,23,Activity-based,"Projects, Presentations",96,12,Fall Semester,No,Good,Quiet,A,
1072,Mia Thompson,Sophomore,18,Kinesthetic,Middle Income,84.6,1240,None,245,Introduction to Biology,Medium,35,Interactive,"Homework, Quizzes",91,13,Spring Semester,Yes,Good,Quiet,B,
1073,Ethan Johnson,Junior,21,Auditory,High Income,91.4,1360,None,325,Calculus II,Hard,45,Lecture-based,"Exams, Projects",95,14,Fall Semester,No,Good,Quiet,A,
1074,Avery Davis,Sophomore,19,Visual,Middle Income,86.7,1290,None,215,Introduction to History,Medium,33,Interactive,"Exams, Projects",90,11,Spring Semester,Yes,Good,Quiet,B,
1075,Evan Thompson,Freshman,16,Kinesthetic,Low Income,94.1,1410,None,155,Introduction to Art History,Easy,22,Activity-based,"Projects, Presentations",97,15,Fall Semester,No,Good,Quiet,A,
1076,Mia Johnson,Sophomore,18,Auditory,High Income,88.8,1300,None,255,Introduction to Literature,Medium,36,Lecture-based,"Homework, Quizzes",94,12,Spring Semester,Yes,Good,Quiet,B,
1077,Emma White,Junior,20,Visual,Middle Income,79.5,1270,None,265,World History II,Medium,38,Interactive,"Exams, Projects",88,10,Fall Semester,No,Good,Quiet,C,
1078,Liam Brown,Sophomore,17,Auditory,Low Income,93.2,1420,None,165,College Algebra,Medium,40,Lecture-based,"Exams, Projects",93,14,Spring Semester,Yes,Good,Quiet,B,
1079,Avery Green,Freshman,16,Kinesthetic,High Income,85.3,1280,None,125,Introduction to Psychology,Easy,28,Activity-based,"Projects, Presentations",95,15,Fall Semester,No,Good,Quiet,B,
1080,Mia Black,Junior,21,Visual,Middle Income,77.8,1260,None,275,Calculus III,Hard,45,Lecture-based,"Exams, Projects",85,13,Spring Semester,Yes,Good,Quiet,C,
1081,Evan White,Sophomore,19,Auditory,Low Income,92.5,1390,None,235,Introduction to Philosophy,Medium,34,Interactive,"Homework, Quizzes",96,12,Fall Semester,No,Good,Quiet,B,
1082,Avery Brown,Freshman,16,Visual,High Income,83.1,1290,None,145,Introduction to Computer Science,Medium,35,Lecture-based,"Exams, Projects",98,14,Spring Semester,Yes,Good,Quiet,B,
1083,Emma Green,Junior,20,Kinesthetic,Middle Income,75.6,1250,None,285,Physics I,Hard,42,Activity-based,"Exams, Projects",90,15,Fall Semester,No,Good,Quiet,C,
1084,Liam Black,Sophomore,18,Auditory,High Income,90.9,1400,None,255,Introduction to Sociology,Medium,37,Lecture-based,"Homework, Quizzes",92,13,Spring Semester,Yes,Good,Quiet,B,
1085,Avery White,Freshman,16,Visual,Low Income,87.4,1310,None,135,Introduction to Anthropology,Easy,29,Activity-based,"Projects, Presentations",94,15,Fall Semester,No,Good,Quiet,B,
1086,Mia Brown,Junior,21,Auditory,High Income,78.3,1240,None,275,Calculus IV,Hard,48,Lecture-based,"Exams, Projects",80,14,Spring Semester,Yes,Good,Quiet,C,
1087,Evan Green,Sophomore,19,Visual,Middle Income,93.1,1380,None,245,Chemistry I,Medium,36,Interactive,"Homework, Quizzes",97,12,Fall Semester,No,Good,Quiet,B,
1088,Sofia Patel,Freshman,17,Kinesthetic,Low Income,84.2,1290,None,195,World History I,Easy,33,Activity-based,"Exams, Projects",93,10,Fall Semester,No,Good,Quiet,B,
1089,Jaden Kim,Sophomore,19,Auditory,Middle Income,89.5,1450,None,265,English Literature II,Medium,45,Lecture-based,"Homework, Quizzes",85,15,Spring Semester,Yes,Good,Quiet,B,
1090,Aria Thompson,Junior,20,Visual,High Income,75.8,1330,None,235,Calculus III,Hard,43,Interactive,"Exams, Projects",95,14,Fall Semester,No,Good,Quiet,C,
1091,Noah Garcia,Freshman,16,Kinesthetic,Low Income,88.1,1370,None,125,Introduction to Psychology,Easy,32,Activity-based,"Projects, Presentations",91,13,Spring Semester,Yes,Good,Quiet,B,
1092,Alexander Johnson,Junior,20,Auditory,High Income,47.8,900,Advanced,301,Calculus III,Hard,22,Interactive,"Homework, Quizzes",45,9,Spring Semester,No,Average,Noisy,A,
1093,Sophia Lee,Freshman,16,Kinesthetic,Low Income,35.2,700,Beginner,101,College Algebra,Easy,35,Activity-based,"Projects, Presentations",48,6,Fall Semester,Yes,Poor,Dusty,C,
1094,Michael Patel,Senior,23,Visual,Middle Income,45.6,820,Intermediate,203,World History II,Medium,30,Lecture-based,"Exams, Projects",47,7,Spring Semester,No,Good,Quiet,B+,
1095,Ava Brown,Junior,19,Auditory,High Income,49.1,950,Advanced,302,Calculus IV,Hard,20,Interactive,"Homework, Quizzes",44,10,Fall Semester,Yes,Good,Quiet,A-,3.8
1096,Daniel Kim,Freshman,17,Kinesthetic,Low Income,38.4,750,Beginner,102,English Composition,Easy,32,Activity-based,"Projects, Presentations",46,6,Spring Semester,No,Average,Quiet,C+,2.5
1097,Emily Johnson,Sophomore,18,Visual,Middle Income,43.9,880,Intermediate,204,Introduction to Computer Science,Medium,26,Lecture-based,"Exams, Projects",43,8,Fall Semester,Yes,Good,Quiet,B-,3.4
1098,William Smith,Junior,20,Auditory,High Income,50.2,980,Advanced,303,Calculus V,Hard,18,Interactive,"Homework, Quizzes",49,10,Spring Semester,No,Good,Quiet,A,3.9
1099,Sophia Garcia,Freshman,17,Visual,Low Income,39.5,720,Beginner,103,Introduction to Psychology,Easy,28,Lecture-based,"Exams, Projects",48,6,Fall Semester,Yes,Good,Quiet,C+,2.7
1100,James Thompson,Sophomore,18,Auditory,Middle Income,46.7,850,Intermediate,205,Introduction to Sociology,Medium,35,Interactive,"Homework, Quizzes",45,7,Spring Semester,No,Average,Quiet,B-,3.3
1101,Emma Wilson,Junior,20,Kinesthetic,High Income,51.9,960,Advanced,304,Advanced Calculus,Hard,15,Activity-based,"Projects, Presentations",50,10,Fall Semester,Yes,Good,Quiet,A,4
1102,Mason Davis,Freshman,17,Visual,Low Income,37.8,710,Beginner,104,Introduction to Philosophy,Easy,30,Lecture-based,"Exams, Projects",49,6,Spring Semester,No,Good,Quiet,C,2.8
1103,Avery Harris,Sophomore,18,Auditory,Middle Income,44.6,840,Intermediate,206,Introduction to Art History,Medium,25,Interactive,"Homework, Quizzes",46,7,Fall Semester,Yes,Average,Quiet,B-,3.5
1104,Oliver Lewis,Junior,20,Kinesthetic,High Income,52.5,970,Advanced,305,Advanced Statistics,Hard,12,Activity-based,"Projects, Presentations",51,10,Spring Semester,No,Good,Quiet,A+,4.1
1105,Grace White,Freshman,17,Visual,Low Income,38.3,730,Beginner,105,Introduction to Anthropology,Easy,27,Lecture-based,"Exams, Projects",47,6,Fall Semester,Yes,Good,Quiet,C+,2.7
1106,Mia Robinson,Sophomore,18,Auditory,Middle Income,45.8,830,Intermediate,207,Introduction to Physics,Medium,33,Interactive,"Homework, Quizzes",44,7,Spring Semester,No,Average,Quiet,B-,3.4
1107,Noah Brown,Junior,20,Kinesthetic,High Income,52.2,960,Advanced,306,Advanced Physics,Hard,13,Activity-based,"Projects, Presentations",50,10,Fall Semester,Yes,Good,Quiet,A,4.2
1108,Avery Johnson,Freshman,17,Visual,Low Income,37.6,700,Beginner,106,Introduction to Economics,Easy,29,Lecture-based,"Exams, Projects",48,6,Spring Semester,No,Good,Quiet,C,2.8
1109,Ella Thompson,Sophomore,18,Auditory,Middle Income,46.2,840,Intermediate,208,Introduction to Psychology,Medium,35,Interactive,"Homework, Quizzes",45,7,Fall Semester,Yes,Average,Quiet,B-,3.5
1110,Jaxon Davis,Junior,21,Visual,Low Income,48.9,950,Advanced,307,Advanced Psychology,Hard,14,Activity-based,"Projects, Presentations",52,10,Spring Semester,No,Good,Quiet,A-,4.1
1111,Liam Green,Sophomore,19,Kinesthetic,High Income,43.5,820,Intermediate,209,Introduction to Computer Science,Medium,36,Interactive,"Homework, Quizzes",46,7,Fall Semester,Yes,Good,Quiet,B,2.7
1112,Ava Wilson,Freshman,16,Auditory,Middle Income,41.8,750,Beginner,107,Introduction to Sociology,Easy,28,Lecture-based,"Exams, Projects",49,6,Spring Semester,No,Good,Quiet,C+,3.6
1113,Mason Smith,Junior,22,Kinesthetic,Low Income,50.6,940,Advanced,308,Advanced Sociology,Hard,15,Activity-based,"Projects, Presentations",53,10,Fall Semester,Yes,Good,Quiet,A,4
1114,Olivia Taylor,Freshman,17,Visual,High Income,47.7,930,Beginner,108,Introduction to Mathematics,Easy,27,Lecture-based,"Exams, Projects",48,6,Spring Semester,No,Good,Quiet,B+,3.4
1115,Elijah Jones,Sophomore,19,Auditory,Middle Income,45.1,810,Intermediate,210,Introduction to Biology,Medium,37,Interactive,"Homework, Quizzes",47,7,Fall Semester,Yes,Average,Quiet,B,2.9
1116,Avery Brown,Junior,21,Kinesthetic,Low Income,51.5,920,Advanced,309,Advanced Biology,Hard,16,Activity-based,"Projects, Presentations",54,10,Spring Semester,No,Good,Quiet,A-,4.1
1117,Sophia Johnson,Freshman,16,Visual,High Income,42.3,780,Beginner,109,Introduction to History,Easy,29,Lecture-based,"Exams, Projects",49,6,Fall Semester,No,Good,Quiet,C,3.2
1118,Daniel Wilson,Sophomore,18,Auditory,Middle Income,44.8,850,Intermediate,211,Introduction to Philosophy,Medium,38,Interactive,"Homework, Quizzes",46,7,Spring Semester,Yes,Average,Quiet,B-,3.5
1119,Jasmine Davis,Junior,22,Visual,High Income,52.9,900,Advanced,301,Advanced Physics,Hard,20,Lecture-based,"Exams, Projects",52,8,Fall Semester,No,Good,Quiet,A,4
1120,Elias Thompson,Freshman,17,Auditory,Middle Income,41.2,800,Beginner,101,Introduction to Computer Science,Easy,32,Interactive,"Homework, Quizzes",45,6,Spring Semester,Yes,Average,Quiet,B,2.8
1121,Amina Patel,Sophomore,19,Kinesthetic,Low Income,50.6,950,Intermediate,212,Introduction to Psychology,Medium,39,Activity-based,"Projects, Presentations",51,9,Fall Semester,No,Good,Quiet,A-,3.6
1122,Mateo Rodriguez,Junior,21,Visual,High Income,48.7,880,Advanced,302,Advanced Chemistry,Hard,18,Lecture-based,"Exams, Projects",53,7,Spring Semester,Yes,Average,Quiet,A-,4.3
1123,Zoey White,Freshman,16,Auditory,Middle Income,39.1,750,Beginner,102,Introduction to Literature,Easy,28,Interactive,"Homework, Quizzes",43,5,Fall Semester,No,Good,Quiet,C+,3.4
1124,Liam Green,Sophomore,18,Kinesthetic,Low Income,47.8,820,Intermediate,213,Introduction to Sociology,Medium,36,Activity-based,"Projects, Presentations",47,6,Spring Semester,Yes,Average,Quiet,B-,4.1
1125,Isabella Harris,Junior,20,Visual,High Income,53.6,980,Advanced,303,Advanced Physics,Hard,21,Lecture-based,"Exams, Projects",55,9,Fall Semester,No,Good,Quiet,A,4.2
1126,Noah Carter,Freshman,17,Auditory,Middle Income,37.5,700,Beginner,103,Introduction to Geology,Easy,26,Interactive,"Homework, Quizzes",42,4,Spring Semester,Yes,Average,Quiet,C,2.7
1127,Avery Thompson,Sophomore,19,Kinesthetic,Low Income,49.3,850,Intermediate,214,Introduction to Anthropology,Medium,35,Activity-based,"Projects, Presentations",48,7,Fall Semester,No,Good,Quiet,B,3.5
1128,Sophia Garcia,Junior,21,Visual,High Income,51.8,920,Advanced,304,Advanced Biology,Hard,19,Lecture-based,"Exams, Projects",54,8,Spring Semester,Yes,Average,Quiet,A-,4.4
1129,Mia Walker,Freshman,17,Auditory,Middle Income,42.1,750,Beginner,105,Introduction to Psychology,Easy,28,Interactive,"Homework, Quizzes",44,5,Fall Semester,No,Average,Quiet,C+,2.5
1130,Elias Hernandez,Sophomore,18,Kinesthetic,Low Income,45.9,800,Intermediate,215,Introduction to Philosophy,Medium,33,Activity-based,"Projects, Presentations",46,6,Spring Semester,Yes,Good,Quiet,B,3.6
1131,Avery Clark,Junior,20,Visual,High Income,50.7,950,Advanced,305,Advanced Chemistry,Hard,20,Lecture-based,"Exams, Projects",53,9,Fall Semester,No,Good,Quiet,A,4.3
1132,Jordan Lewis,Freshman,17,Auditory,Middle Income,41.2,720,Beginner,106,Introduction to Economics,Easy,27,Interactive,"Homework, Quizzes",43,4,Spring Semester,No,Average,Quiet,C,2.7
1133,Isabella Johnson,Sophomore,19,Kinesthetic,Low Income,48.6,830,Intermediate,216,Introduction to Political Science,Medium,34,Activity-based,"Projects, Presentations",47,7,Fall Semester,Yes,Good,Quiet,B-,3.4
1134,Ethan Thompson,Junior,21,Visual,High Income,52.5,970,Advanced,306,Advanced Mathematics,Hard,18,Lecture-based,"Exams, Projects",55,10,Spring Semester,No,Average,Quiet,A,4.3
1135,Ava Brown,Freshman,17,Auditory,Middle Income,40.8,710,Beginner,107,Introduction to Computer Science,Easy,29,Interactive,"Homework, Quizzes",45,5,Fall Semester,No,Average,Quiet,C,2.6
1136,Liam Wilson,Sophomore,18,Kinesthetic,Low Income,47.2,810,Intermediate,217,Introduction to Art History,Medium,32,Activity-based,"Projects, Presentations",46,6,Spring Semester,Yes,Good,Quiet,B,3.5
1137,Oliver Davis,Junior,20,Visual,High Income,53.1,960,Advanced,307,Advanced Physics,Hard,21,Lecture-based,"Exams, Projects",54,9,Fall Semester,No,Good,Quiet,A,4.4
1138,Avery White,Freshman,17,Auditory,Middle Income,41.5,730,Beginner,108,Introduction to History,Easy,28,Interactive,"Homework, Quizzes",44,4,Spring Semester,No,Average,Quiet,C,2.7
1139,Emma Johnson,Sophomore,19,Visual,High Income,48.5,850,Intermediate,202,Intermediate Spanish,Medium,38,Activity-based,"Projects, Presentations",47,7,Fall Semester,Yes,Good,Quiet,B,3.5
1140,James Anderson,Junior,21,Auditory,Low Income,45.2,780,Beginner,112,Fundamentals of Psychology,Easy,27,Lecture-based,"Exams, Projects",43,5,Spring Semester,No,Average,Quiet,C,4.4
